StartPoint,EndPoint,Distance,net_length
49,50,9.99999999985,509.99999999994003
50,51,10.0000000022,0.0
51,52,9.99999999837,0.0
52,53,9.99999999933,0.0
53,54,9.99999999962,0.0
54,55,10.0000000009,0.0
55,56,9.99999999962,0.0
56,57,10.0000000009,0.0
57,58,9.99999999985,0.0
58,59,9.99999999985,0.0
59,60,9.99999999985,0.0
60,61,10.0000000001,0.0
61,62,10.0000000002,0.0
62,63,10.0000000005,0.0
63,64,9.99999999911,0.0
64,65,10.0000000006,0.0
65,66,9.99999999962,0.0
66,67,9.99999999985,0.0
67,68,10.0000000001,0.0
68,69,10.0000000002,0.0
69,70,9.99999999922,0.0
70,71,10.0000000008,0.0
71,72,9.99999999996,0.0
72,73,9.99999999996,0.0
73,74,10.0000000006,0.0
74,75,10.0000000009,0.0
75,76,9.9999999986,0.0
76,77,10.0000000001,0.0
77,78,9.99999999933,0.0
78,79,10.000000001,0.0
79,80,9.99999999877,0.0
80,81,10.0000000006,0.0
81,82,9.99999999985,0.0
82,83,10.0000000004,0.0
83,84,10.0000000004,0.0
84,85,9.99999999951,0.0
85,86,10.0000000004,0.0
86,87,9.9999999999,0.0
87,88,9.99999999939,0.0
88,89,10.0000000002,0.0
89,90,9.9999999999,0.0
90,91,10.0000000009,0.0
91,92,10.0000000004,0.0
92,93,9.99999999736,0.0
93,94,10.0000000024,0.0
94,95,9.99999999928,0.0
95,96,10.0000000005,0.0
96,97,10.0,0.0
97,98,9.9999999999,0.0
98,99,9.99999999951,0.0
99,100,9.99999999928,0.0
49,50,9.99999999985,0.0
49,51,20.00000000205,0.0
49,52,30.000000000420002,0.0
49,53,39.99999999975,0.0
49,54,49.999999999370004,0.0
49,55,60.000000000270006,0.0
49,56,69.99999999989001,0.0
49,57,80.00000000079001,0.0
49,58,90.00000000064001,0.0
49,59,100.00000000049002,0.0
49,60,110.00000000034002,0.0
49,61,120.00000000044002,0.0
49,62,130.00000000064003,0.0
49,63,140.00000000114002,0.0
49,64,150.00000000025003,0.0
49,65,160.00000000085004,0.0
49,66,170.00000000047004,0.0
49,67,180.00000000032003,0.0
49,68,190.00000000042002,0.0
49,69,200.00000000062002,0.0
49,70,209.99999999984,0.0
49,71,220.00000000064,0.0
49,72,230.0000000006,0.0
49,73,240.00000000056002,0.0
49,74,250.00000000116003,0.0
49,75,260.00000000206,0.0
49,76,270.00000000066,0.0
49,77,280.00000000076,0.0
49,78,290.00000000009,0.0
49,79,300.00000000109,0.0
49,80,309.99999999986,0.0
49,81,320.00000000046,0.0
49,82,330.00000000030997,0.0
49,83,340.00000000071,0.0
49,84,350.00000000111,0.0
49,85,360.00000000062,0.0
49,86,370.00000000102,0.0
49,87,380.00000000092,0.0
49,88,390.00000000031,0.0
49,89,400.00000000051,0.0
49,90,410.00000000041,0.0
49,91,420.00000000131,0.0
49,92,430.00000000171,0.0
49,93,439.99999999907004,0.0
49,94,450.00000000147,0.0
49,95,460.00000000075005,0.0
49,96,470.00000000125004,0.0
49,97,480.00000000125004,0.0
49,98,490.00000000115006,0.0
49,99,500.00000000066007,0.0
49,100,509.9999999999401,0.0
50,51,10.0000000022,0.0
50,52,20.00000000057,0.0
50,53,29.9999999999,0.0
50,54,39.99999999952,0.0
50,55,50.00000000042,0.0
50,56,60.000000000040004,0.0
50,57,70.00000000094,0.0
50,58,80.00000000079001,0.0
50,59,90.00000000064001,0.0
50,60,100.00000000049002,0.0
50,61,110.00000000059002,0.0
50,62,120.00000000079002,0.0
50,63,130.00000000129003,0.0
50,64,140.00000000040004,0.0
50,65,150.00000000100005,0.0
50,66,160.00000000062005,0.0
50,67,170.00000000047004,0.0
50,68,180.00000000057003,0.0
50,69,190.00000000077003,0.0
50,70,199.99999999999002,0.0
50,71,210.00000000079,0.0
50,72,220.00000000075002,0.0
50,73,230.00000000071003,0.0
50,74,240.00000000131004,0.0
50,75,250.00000000221004,0.0
50,76,260.00000000081,0.0
50,77,270.00000000091,0.0
50,78,280.00000000024,0.0
50,79,290.00000000124,0.0
50,80,300.00000000001,0.0
50,81,310.00000000061,0.0
50,82,320.00000000046,0.0
50,83,330.00000000086,0.0
50,84,340.00000000126,0.0
50,85,350.00000000077,0.0
50,86,360.00000000117,0.0
50,87,370.00000000107,0.0
50,88,380.00000000046003,0.0
50,89,390.00000000066,0.0
50,90,400.00000000056,0.0
50,91,410.00000000146,0.0
50,92,420.00000000186003,0.0
50,93,429.99999999922005,0.0
50,94,440.00000000162004,0.0
50,95,450.00000000090006,0.0
50,96,460.00000000140005,0.0
50,97,470.00000000140005,0.0
50,98,480.00000000130007,0.0
50,99,490.0000000008101,0.0
50,100,500.0000000000901,0.0
51,50,10.0000000022,0.0
51,52,9.99999999837,0.0
51,53,19.9999999977,0.0
51,54,29.999999997320003,0.0
51,55,39.999999998220005,0.0
51,56,49.99999999784001,0.0
51,57,59.99999999874001,0.0
51,58,69.99999999859001,0.0
51,59,79.99999999844002,0.0
51,60,89.99999999829002,0.0
51,61,99.99999999839002,0.0
51,62,109.99999999859003,0.0
51,63,119.99999999909002,0.0
51,64,129.99999999820002,0.0
51,65,139.99999999880004,0.0
51,66,149.99999999842004,0.0
51,67,159.99999999827003,0.0
51,68,169.99999999837001,0.0
51,69,179.99999999857002,0.0
51,70,189.99999999779,0.0
51,71,199.99999999859,0.0
51,72,209.99999999855,0.0
51,73,219.99999999851002,0.0
51,74,229.99999999911003,0.0
51,75,240.00000000001003,0.0
51,76,249.99999999861004,0.0
51,77,259.99999999871005,0.0
51,78,269.99999999804004,0.0
51,79,279.99999999904,0.0
51,80,289.99999999781005,0.0
51,81,299.99999999841003,0.0
51,82,309.99999999826,0.0
51,83,319.99999999866003,0.0
51,84,329.99999999906004,0.0
51,85,339.99999999857005,0.0
51,86,349.99999999897005,0.0
51,87,359.99999999887007,0.0
51,88,369.9999999982601,0.0
51,89,379.99999999846005,0.0
51,90,389.99999999836007,0.0
51,91,399.99999999926007,0.0
51,92,409.9999999996601,0.0
51,93,419.9999999970201,0.0
51,94,429.9999999994201,0.0
51,95,439.9999999987001,0.0
51,96,449.9999999992001,0.0
51,97,459.9999999992001,0.0
51,98,469.9999999991001,0.0
51,99,479.9999999986101,0.0
51,100,489.99999999789014,0.0
52,50,20.00000000057,0.0
52,51,9.99999999837,0.0
52,53,9.99999999933,0.0
52,54,19.999999998950003,0.0
52,55,29.999999999850004,0.0
52,56,39.999999999470006,0.0
52,57,50.00000000037001,0.0
52,58,60.00000000022001,0.0
52,59,70.00000000007002,0.0
52,60,79.99999999992002,0.0
52,61,90.00000000002002,0.0
52,62,100.00000000022003,0.0
52,63,110.00000000072002,0.0
52,64,119.99999999983002,0.0
52,65,130.00000000043002,0.0
52,66,140.00000000005002,0.0
52,67,149.9999999999,0.0
52,68,160.0,0.0
52,69,170.0000000002,0.0
52,70,179.99999999942,0.0
52,71,190.00000000021998,0.0
52,72,200.00000000018,0.0
52,73,210.00000000014,0.0
52,74,220.00000000074002,0.0
52,75,230.00000000164002,0.0
52,76,240.00000000024002,0.0
52,77,250.00000000034,0.0
52,78,259.99999999967,0.0
52,79,270.00000000067,0.0
52,80,279.99999999944004,0.0
52,81,290.00000000004,0.0
52,82,299.99999999989,0.0
52,83,310.00000000029,0.0
52,84,320.00000000069,0.0
52,85,330.00000000020003,0.0
52,86,340.00000000060004,0.0
52,87,350.00000000050005,0.0
52,88,359.99999999989006,0.0
52,89,370.00000000009004,0.0
52,90,379.99999999999005,0.0
52,91,390.00000000089005,0.0
52,92,400.00000000129006,0.0
52,93,409.9999999986501,0.0
52,94,420.00000000105007,0.0
52,95,430.0000000003301,0.0
52,96,440.0000000008301,0.0
52,97,450.0000000008301,0.0
52,98,460.0000000007301,0.0
52,99,470.0000000002401,0.0
52,100,479.9999999995201,0.0
53,50,29.9999999999,0.0
53,51,19.9999999977,0.0
