Id,XX,YY
305,614679.49226100000,1190879.45855000000
306,614672.84702600000,1190886.89349000000
307,614666.96532600000,1190894.98086000000
308,614666.44448300000,1190903.73719000000
309,614670.72221500000,1190912.59529000000
310,614678.64845300000,1190918.69240000000
311,614686.57469100000,1190924.78951000000
312,614694.50092900000,1190930.88662000000
313,614702.42716700000,1190936.98373000000
314,614709.67410100000,1190943.85450000000
315,614716.74516900000,1190950.92557000000
316,614724.58740100000,1190945.81234000000
317,614732.49355200000,1190939.68921000000
318,614740.39970300000,1190933.56607000000
319,614748.30585400000,1190927.44294000000
320,614756.21200500000,1190921.31980000000
321,614764.11815500000,1190915.19667000000
322,614772.02430600000,1190909.07353000000
323,614779.93045700000,1190902.95040000000
324,614784.66518100000,1190908.65575000000
325,614788.44763200000,1190917.91281000000
326,614792.23008300000,1190927.16986000000
327,614796.01253300000,1190936.42692000000
328,614799.79498400000,1190945.68397000000
329,614803.57743500000,1190954.94103000000
330,614807.35988600000,1190964.19808000000
331,614811.14233600000,1190973.45514000000
332,614814.92478700000,1190982.71219000000
333,614818.70723800000,1190991.96925000000
334,614822.48968900000,1191001.22630000000
335,614826.27213900000,1191010.48336000000
336,614831.02310600000,1191019.26694000000
337,614836.00485500000,1191027.93771000000
338,614840.98660300000,1191036.60847000000
339,614845.96835200000,1191045.27924000000
340,614850.95010000000,1191053.95001000000
341,614855.93184900000,1191062.62077000000
342,614860.91359700000,1191071.29154000000
343,614865.89534600000,1191079.96230000000
344,614870.87709400000,1191088.63307000000
345,614875.85884300000,1191097.30384000000
346,614880.84059100000,1191105.97460000000
347,614885.82234000000,1191114.64537000000
348,614890.84250600000,1191123.29354000000
349,614895.99861200000,1191131.86177000000
350,614901.15471700000,1191140.43000000000
351,614906.31082300000,1191148.99823000000
352,614911.46692900000,1191157.56646000000
353,614916.62303400000,1191166.13469000000
354,614921.77914000000,1191174.70292000000
355,614926.93524500000,1191183.27115000000
356,614932.09135100000,1191191.83939000000
357,614937.24745600000,1191200.40762000000
358,614942.40356200000,1191208.97585000000
359,614947.55966800000,1191217.54408000000
360,614952.71577300000,1191226.11231000000
361,614957.87187900000,1191234.68054000000
362,614963.02798400000,1191243.24877000000
363,614968.18409000000,1191251.81700000000
364,614971.11908400000,1191261.10737000000
365,614971.98770300000,1191271.06957000000
366,614972.85632300000,1191281.03178000000
367,614974.30682300000,1191290.82672000000
368,614978.86091600000,1191299.72954000000
369,614983.41501000000,1191308.63236000000
370,614987.96910400000,1191317.53519000000
371,614992.52319800000,1191326.43801000000
372,614997.07729100000,1191335.34083000000
373,615001.63138500000,1191344.24365000000
374,615006.18547900000,1191353.14647000000
375,615010.73957300000,1191362.04929000000
376,615015.29366600000,1191370.95211000000
377,615019.84776000000,1191379.85494000000
378,615024.40185400000,1191388.75776000000
379,615028.95594700000,1191397.66058000000
380,615033.51004100000,1191406.56340000000
381,615042.37517600000,1191410.76304000000
382,615051.63984200000,1191414.52681000000
383,615059.13712800000,1191420.59783000000
384,615065.18372900000,1191428.56267000000
385,615071.23033000000,1191436.52751000000
386,615077.27693100000,1191444.49234000000
387,615083.32353200000,1191452.45718000000
388,615089.37013300000,1191460.42201000000
389,615095.41673500000,1191468.38685000000
390,615101.46333600000,1191476.35169000000
391,615107.50993700000,1191484.31652000000
392,615113.55653800000,1191492.28136000000
393,615119.60313900000,1191500.24620000000
394,615125.64974000000,1191508.21103000000
395,615131.69634100000,1191516.17587000000
396,615137.74294200000,1191524.14070000000
397,615143.78954300000,1191532.10554000000
398,615149.83614400000,1191540.07038000000
399,615155.88274500000,1191548.03521000000
400,615161.92934600000,1191556.00005000000
401,615167.97594700000,1191563.96489000000
402,615174.02254900000,1191571.92972000000
403,615180.06915000000,1191579.89456000000
404,615186.11575100000,1191587.85939000000
405,615192.16235200000,1191595.82423000000
406,615198.20895300000,1191603.78907000000
407,615204.25555400000,1191611.75390000000
408,615210.30215500000,1191619.71874000000
409,615216.34875600000,1191627.68357000000
410,615222.39535700000,1191635.64841000000
411,615228.44195800000,1191643.61325000000
412,615234.48855900000,1191651.57808000000
413,615240.53516000000,1191659.54292000000
414,615246.58176100000,1191667.50776000000
415,615252.62836300000,1191675.47259000000
416,615259.07688100000,1191683.10795000000
417,615265.70091800000,1191690.59942000000
418,615272.32495500000,1191698.09089000000
419,615278.94899200000,1191705.58236000000
420,615285.57303000000,1191713.07383000000
421,615292.19706700000,1191720.56530000000
422,615298.82110400000,1191728.05677000000
423,615305.44514100000,1191735.54824000000
424,615312.07416700000,1191743.03497000000
425,615319.22379800000,1191750.02659000000
426,615326.37342900000,1191757.01821000000
427,615333.52306000000,1191764.00983000000
428,615340.67269000000,1191771.00146000000
429,615347.82232100000,1191777.99308000000
430,615354.97195200000,1191784.98470000000
431,615362.12158200000,1191791.97632000000
432,615369.27121300000,1191798.96795000000
433,615376.42084400000,1191805.95957000000
434,615383.57047500000,1191812.95119000000
435,615390.72010500000,1191819.94281000000
436,615397.86973600000,1191826.93443000000
437,615405.01936700000,1191833.92606000000
438,615412.16899700000,1191840.91768000000
439,615419.31862800000,1191847.90930000000
440,615426.46825900000,1191854.90092000000
441,615433.61788900000,1191861.89254000000
442,615441.59464400000,1191867.85079000000
443,615449.98244100000,1191873.29550000000
444,615458.37023700000,1191878.74021000000
445,615466.75803400000,1191884.18492000000
446,615475.15501100000,1191889.50426000000
447,615484.24646800000,1191885.33948000000
448,615493.33792500000,1191881.17470000000
449,615502.42938100000,1191877.00992000000
450,615511.52083800000,1191872.84514000000
451,615519.73592100000,1191878.02355000000
452,615527.89431500000,1191883.80633000000
453,615536.05270900000,1191889.58912000000
454,615543.54375300000,1191896.20087000000
455,615550.93519600000,1191902.93634000000
456,615558.32663900000,1191909.67181000000
457,615565.71808300000,1191916.40728000000
458,615573.10952600000,1191923.14275000000
459,615580.50096900000,1191929.87822000000
460,615582.53759700000,1191937.28614000000
461,615589.91977200000,1191944.03177000000
462,615597.30194700000,1191950.77739000000
463,615604.68412200000,1191957.52302000000
464,615612.06629700000,1191964.26865000000
465,615619.44847200000,1191971.01428000000
466,615626.83064700000,1191977.75990000000
467,615634.21282300000,1191984.50553000000
468,615641.59499800000,1191991.25116000000
469,615648.97717300000,1191997.99678000000
470,615656.35934800000,1192004.74241000000
471,615663.74152300000,1192011.48804000000
472,615671.12369800000,1192018.23367000000
473,615678.50587400000,1192024.97929000000
474,615685.88804900000,1192031.72492000000
475,615693.27022400000,1192038.47055000000
476,615700.65239900000,1192045.21618000000
477,615708.02170900000,1192051.97584000000
478,615715.38252900000,1192058.74476000000
479,615722.74334900000,1192065.51369000000
480,615730.10416900000,1192072.28261000000
481,615737.46498900000,1192079.05153000000
482,615744.82580900000,1192085.82046000000
483,615752.18662900000,1192092.58938000000
484,615759.54744900000,1192099.35831000000
485,615766.90826900000,1192106.12723000000
486,615774.26908900000,1192112.89615000000
487,615781.62990800000,1192119.66508000000
488,615788.99072800000,1192126.43400000000
489,615796.35154800000,1192133.20293000000
490,615803.71236800000,1192139.97185000000
491,615811.07318800000,1192146.74077000000
492,615818.43400800000,1192153.50970000000
493,615825.79482800000,1192160.27862000000
494,615833.15564800000,1192167.04754000000
495,615840.51646800000,1192173.81647000000
496,615847.87728800000,1192180.58539000000
497,615855.23810800000,1192187.35432000000
498,615862.59892700000,1192194.12324000000
499,615869.95974700000,1192200.89216000000
500,615877.32056700000,1192207.66109000000
501,615884.68138700000,1192214.43001000000
502,615892.30743800000,1192220.88685000000
503,615900.17472100000,1192227.05985000000
504,615908.04200300000,1192233.23284000000
505,615915.90928600000,1192239.40584000000
506,615923.77656900000,1192245.57883000000
507,615931.64385200000,1192251.75182000000
508,615939.51113400000,1192257.92482000000
509,615947.37841700000,1192264.09781000000
510,615955.24570000000,1192270.27081000000
511,615963.11298200000,1192276.44380000000
512,615970.98026500000,1192282.61680000000
513,615978.84754800000,1192288.78979000000
514,615986.71483100000,1192294.96279000000
515,615994.58211300000,1192301.13578000000
516,616002.44939600000,1192307.30878000000
517,616010.31667900000,1192313.48177000000
518,616018.18396100000,1192319.65477000000
519,616026.05124400000,1192325.82776000000
520,616033.91852700000,1192332.00076000000
521,616041.78581000000,1192338.17375000000
522,616049.65309200000,1192344.34674000000
523,616057.52037500000,1192350.51974000000
524,616065.38765800000,1192356.69273000000
525,616073.25494000000,1192362.86573000000
526,616081.12222300000,1192369.03872000000
527,616088.98950600000,1192375.21172000000
528,616096.89137700000,1192381.33679000000
529,616105.22832500000,1192386.85904000000
530,616113.56527200000,1192392.38130000000
531,616121.90222000000,1192397.90355000000
532,616130.23916700000,1192403.42581000000
533,616138.52666600000,1192409.02190000000
534,616146.80721700000,1192414.62837000000
535,616155.08776800000,1192420.23484000000
536,616163.36831900000,1192425.84131000000
537,616171.64887000000,1192431.44777000000
538,616179.92942100000,1192437.05424000000
539,616189.08546200000,1192440.95326000000
540,616198.47086100000,1192444.40496000000
541,616207.41744200000,1192448.79452000000
542,616216.08142200000,1192453.78807000000
543,616224.34905000000,1192459.40620000000
544,616233.38463900000,1192463.64086000000
545,616236.03854000000,1192471.94912000000
546,616244.45959500000,1192477.34225000000
547,616252.88065000000,1192482.73538000000
548,616261.51107900000,1192487.77532000000
549,616270.28396900000,1192492.57495000000
550,616279.05685900000,1192497.37457000000
551,616287.82974900000,1192502.17420000000
552,616296.60263900000,1192506.97382000000
553,616305.37552900000,1192511.77345000000
554,616314.14841800000,1192516.57307000000
555,616322.92130800000,1192521.37270000000
556,616331.69419800000,1192526.17232000000
557,616340.46708800000,1192530.97195000000
558,616349.23997800000,1192535.77157000000
559,616358.01286800000,1192540.57120000000
560,616367.34931500000,1192543.90620000000
561,616377.07673200000,1192546.22511000000
562,616386.80414800000,1192548.54403000000
563,616396.53156500000,1192550.86294000000
564,616406.25898100000,1192553.18186000000
565,616415.98639800000,1192555.50078000000
566,616425.71381400000,1192557.81969000000
567,616435.44123100000,1192560.13861000000
568,616445.16864700000,1192562.45752000000
569,616454.89606400000,1192564.77644000000
570,616464.62348000000,1192567.09535000000
571,616474.35089700000,1192569.41427000000
572,616484.07831300000,1192571.73318000000
573,616493.80573000000,1192574.05210000000
574,616503.53314600000,1192576.37101000000
575,616513.26056300000,1192578.68993000000
576,616522.98797900000,1192581.00884000000
577,616532.71539600000,1192583.32776000000
578,616542.44281200000,1192585.64667000000
579,616552.17022900000,1192587.96559000000
580,616561.89764500000,1192590.28450000000
581,616571.62506200000,1192592.60342000000
582,616581.35247800000,1192594.92234000000
583,616591.07989500000,1192597.24125000000
584,616600.80731100000,1192599.56017000000
585,616610.53472800000,1192601.87908000000
586,616620.26214400000,1192604.19800000000
587,616629.98956100000,1192606.51691000000
588,616639.71697700000,1192608.83583000000
589,616649.44439400000,1192611.15474000000
590,616659.17181100000,1192613.47366000000
591,616668.89922700000,1192615.79257000000
592,616678.62664400000,1192618.11149000000
593,616688.35406000000,1192620.43040000000
594,616698.08147700000,1192622.74932000000
595,616707.80889300000,1192625.06823000000
596,616717.53631000000,1192627.38715000000
597,616727.26372600000,1192629.70606000000
598,616736.99114300000,1192632.02498000000
599,616746.71855900000,1192634.34390000000
600,616756.44597600000,1192636.66281000000
601,616766.17339200000,1192638.98173000000
602,616775.92906000000,1192641.08520000000
603,616785.92548100000,1192641.35272000000
604,616795.92190200000,1192641.62024000000
605,616805.68504800000,1192639.49223000000
606,616815.44205100000,1192637.30113000000
607,616825.19905400000,1192635.11003000000
608,616834.95893200000,1192632.95785000000
609,616844.93204600000,1192633.69066000000
610,616854.91547300000,1192634.24981000000
611,616864.90522000000,1192634.70253000000
612,616874.89496600000,1192635.15525000000
613,616884.88743600000,1192635.53606000000
614,616894.88281400000,1192635.84006000000
615,616904.87819300000,1192636.14405000000
616,616914.87357100000,1192636.44804000000
617,616924.86894900000,1192636.75203000000
618,616934.86432800000,1192637.05602000000
619,616944.85970600000,1192637.36001000000
620,616954.85508500000,1192637.66401000000
621,616964.85046300000,1192637.96800000000
622,616974.84584100000,1192638.27199000000
623,616984.84122000000,1192638.57598000000
624,616994.62055000000,1192637.66247000000
625,617004.00409800000,1192634.38839000000
626,617013.98091300000,1192633.70783000000
627,617023.97378100000,1192633.75709000000
628,617033.97087100000,1192633.99831000000
629,617043.96796100000,1192634.23953000000
630,617053.96612700000,1192634.08772000000
631,617063.96388900000,1192633.92298000000
632,617073.94201200000,1192634.57786000000
633,617083.83823100000,1192636.01482000000
634,617093.73445000000,1192637.45178000000
635,617103.63066900000,1192638.88874000000
636,617113.25458300000,1192641.33850000000
637,617122.53710600000,1192645.05801000000
638,617131.05539400000,1192650.23151000000
639,617138.44611200000,1192656.96777000000
640,617145.83683000000,1192663.70404000000
641,617153.22754900000,1192670.44030000000
642,617161.20326600000,1192676.39938000000
643,617169.72136000000,1192681.63790000000
644,617178.23945400000,1192686.87642000000
645,617186.75754700000,1192692.11494000000
646,617195.27564100000,1192697.35346000000
647,617203.79373500000,1192702.59198000000
648,617212.31182900000,1192707.83050000000
649,617220.82992300000,1192713.06901000000
650,617228.50050000000,1192719.47458000000
651,617236.11773600000,1192725.95360000000
652,617243.73497200000,1192732.43263000000
653,617251.35220700000,1192738.91165000000
654,617258.96944300000,1192745.39067000000
655,617266.57909700000,1192751.87858000000
656,617274.18146700000,1192758.37504000000
657,617280.00057300000,1192766.49148000000
658,617285.73933900000,1192774.68089000000
659,617291.47810600000,1192782.87031000000
660,617296.55060800000,1192791.47533000000
661,617302.83939800000,1192799.20399000000
662,617310.00863800000,1192806.17551000000
663,617317.17787800000,1192813.14702000000
664,617324.40345300000,1192820.05968000000
665,617331.74041300000,1192826.85004000000
666,617339.51777500000,1192833.13594000000
667,617347.29513800000,1192839.42185000000
668,617355.02305300000,1192845.76648000000
669,617362.54132300000,1192852.36009000000
670,617370.05959400000,1192858.95369000000
671,617377.56812300000,1192865.55744000000
672,617384.46397500000,1192872.79949000000
673,617391.35982600000,1192880.04153000000
674,617398.25567800000,1192887.28358000000
675,617404.94273300000,1192894.57237000000
676,617401.79300000000,1192904.06337000000
677,617398.64326700000,1192913.55438000000
678,617394.32858500000,1192922.14442000000
679,617385.93452800000,1192927.57947000000
680,617377.54047100000,1192933.01452000000
681,617369.14641400000,1192938.44958000000
682,617360.75235700000,1192943.88463000000
683,617353.65594300000,1192950.92393000000
684,617346.58670000000,1192957.99682000000
685,617339.51745700000,1192965.06972000000
686,617332.44821400000,1192972.14261000000
687,617325.37897100000,1192979.21550000000
688,617318.30972700000,1192986.28839000000
689,617311.24048400000,1192993.36128000000
690,617304.17124100000,1193000.43418000000
691,617296.49821700000,1193006.79389000000
692,617288.44137100000,1193012.71734000000
693,617280.38452400000,1193018.64078000000
694,617272.32767800000,1193024.56423000000
695,617264.27083200000,1193030.48768000000
696,617256.21398600000,1193036.41113000000
697,617248.15714000000,1193042.33457000000
698,617240.10029400000,1193048.25802000000
699,617232.04344800000,1193054.18147000000
700,617223.54057700000,1193059.22195000000
701,617213.99176400000,1193062.19182000000
702,617204.44295000000,1193065.16169000000
703,617194.57744900000,1193066.42944000000
704,617184.59946200000,1193067.09260000000
705,617174.62147500000,1193067.75575000000
706,617164.64348800000,1193068.41891000000
707,617154.73182900000,1193067.77394000000
708,617144.87209300000,1193066.10493000000
709,617135.29400900000,1193063.49231000000
710,617126.13256800000,1193059.48381000000
711,617117.66249000000,1193054.20231000000
712,617109.31214100000,1193048.70034000000
713,617101.40568300000,1193042.64659000000
714,617094.24279000000,1193035.66855000000
715,617087.07989700000,1193028.69052000000
716,617079.68340200000,1193022.00832000000
717,617071.23456800000,1193016.65882000000
718,617062.78573300000,1193011.30931000000
719,617054.22183700000,1193006.15642000000
720,617045.41992100000,1193001.41023000000
721,617036.61800500000,1192996.66405000000
722,617027.79616400000,1192991.96783000000
723,617018.14334900000,1192989.35571000000
724,617008.49053400000,1192986.74359000000
725,616998.83109700000,1192984.15610000000
726,616989.17034100000,1192981.57350000000
727,616979.50958600000,1192978.99090000000
728,616969.84883100000,1192976.40831000000
729,616960.18807600000,1192973.82571000000
730,616950.44411800000,1192971.58161000000
731,616940.68694700000,1192969.39126000000
732,616930.85670400000,1192967.60902000000
733,616920.94572100000,1192966.27769000000
734,616911.03473900000,1192964.94637000000
